name,tourism,name:en,WKT
Меморијален музеј Народен херој Кузман Јосифоски-Питу,museum,People's hero Kuzman Josifoski-Pitu Memorial museum,"POLYGON ((21.5597305 41.3424673, 21.5597957 41.3424936, 21.5597314 41.3425836, 21.5596662 41.3425573, 21.5597305 41.3424673))"
Музеј,museum,Museum,"POLYGON ((21.5591038 41.3429261, 21.5593459 41.3425906, 21.5596833 41.3427279, 21.5594411 41.3430634, 21.5591038 41.3429261))"
Goce Delchev Memorial House,museum,Goce Delchev Memorial House,"POLYGON ((21.3320703 41.0268197, 21.3322727 41.0267755, 21.3323445 41.0269753, 21.3321459 41.0270152, 21.3320703 41.0268197))"
Mémorial de Bitola,museum,Bitola Memorial,"POLYGON ((21.3585444 41.0410392, 21.3586639 41.0410383, 21.3586665 41.0411312, 21.3585463 41.0411339, 21.3585444 41.0410392))"
Спомен-куќа на Татарчеви,museum,Tatarchev House,"POLYGON ((21.0137165 41.0884486, 21.013729 41.0882865, 21.0139077 41.0882944, 21.0138952 41.0884565, 21.0137165 41.0884486))"
Природонаучен Музеј,museum,Macedonian Museum of Natural History,POINT (21.4174425 42.005709)
Музеј на град Берово,museum,Berovo Town Museum,POINT (22.8566138 41.7077548)
Музеј Галерија Кавадарци,museum,Muzej Galerija Kavadarci,POINT (22.0163228 41.4343634)
Куќа на Робевци,museum,Robev Family House,POINT (20.7961416 41.112361)
Museum Teracotta,museum,Teracotta Museum,POINT (22.5049622 41.8841902)
Музеј на Дојран,museum,Dojran Museum,POINT (22.7221034 41.1871817)
Museum of Wine,museum,Museum of Wine,POINT (22.2447656 41.4085959)
Д-р Никола Незлобински,museum,Dr Nikola Nezlobinski,POINT (20.6776078 41.1805738)
Спомен куќа на Страшо Пинџур,museum,Memorial house - Strasho Pindjur,POINT (22.0181317 41.4184594)
City Museum,museum,City Museum,POINT (22.3348959 42.2020133)
Музеј на град Делчево,museum,City Museum,POINT (22.7729986 41.9664768)
Eтнолошки музеј,museum,Ethnographic museum,POINT (21.0506131 41.0240503)
Museum of Galichnik's cultural heritage,museum,Museum of Galichnik's cultural heritage,POINT (20.652723 41.5939237)
Galerija RA,museum,Gallery RA,POINT (21.3865879 41.9989569)
Museum Strumica,museum,Museum Strumica,POINT (22.6364291 41.4354106)
Vardarski Rid,museum,Vardarski Rid,POINT (22.5220207 41.1488082)
House of Lambeski,museum,House of Lambeski,POINT (20.7970433 41.1123275)
Спомен куќа на Страшо Пинџур,museum,Memorial house - Strasho Pindjur,POINT (22.0181317 41.4184594)
Музеј на град Делчево,museum,Delchevo City Museum ,POINT (22.7729986 41.9664768)
Галерија на икони,museum,Icon Gallery,POINT (20.7952385 41.1143378)
Eтнолошки музеј,museum,Ethnographic museum,POINT (21.0506131 41.0240503)
