name,amenity,tourism,historic,historic:civilization,name:en,name:mk,religion,WKT
,,,wayside_shrine,,,,,POINT (20.6340102 41.1089992)
Споменик „Солунски атентатори и Гемиџии“,,,memorial,,,,,POINT (21.4328484 41.9964125)
Света Троица и Свети Ѓорѓија,,,ruins,ancient_roman,Holy Trinity and Holy George,,,POINT (21.288822 41.9538189)
,,museum,,,"Auto and etno museum ""Filip""",,,POINT (21.3299172 41.0748026)
,,,monument,,,,,POINT (22.9798389 41.3664629)
,,,memorial,,,,,POINT (20.8292233 42.3609509)
,,museum,,,,,,POINT (20.8929316 42.1746293)
Guri Merthincit,,,castle,,,,,POINT (20.7493066 42.1080235)
Голема Пеш,,,archaeological_site,prehistoric,Golema Pesht,,,POINT (21.1617392 41.8117124)
,,,memorial,,,,,POINT (21.0319272 41.5875575)
,,,memorial,,,,,POINT (21.0214707 41.5495562)
,,,memorial,,,,,POINT (21.0453863 41.6173834)
,,,memorial,,,,,POINT (21.0000492 41.5423453)
,,museum,,,,,,POINT (20.9638123 41.5127983)
Ιερός Ναός Αγίου Ευσταθίου,place_of_worship,,,,,,christian,POINT (21.9734255 40.9420006)
,,,,,,,,POINT (21.3433119 41.0114845)
,,,,,,,,POINT (21.2503795 41.0438632)
Градот,,,,,Gradot,,,POINT (21.7169604 41.2058438)
,,,,,,,,POINT (21.540541 41.3549359)
,,,,,,,,POINT (21.5373929 41.361265)
,,,,,,,,POINT (21.5552133 41.3371944)
,,,,,,,,POINT (21.5551616 41.3373072)
,,,,,,,,POINT (21.5583283 41.3426231)
,,,,,,,,POINT (21.5552874 41.33701)
,,,,,,,,POINT (22.5847087 40.9864289)
,,,,,,,,POINT (22.590939 40.9871337)
Tailors Bridge,,attraction,,,,,,POINT (20.509812 42.3590363)
,,,,,,,,POINT (20.7437174 42.211278)
,,,,,,,,POINT (20.7462715 42.2088803)
,,,,,,,,POINT (20.751155 42.2179193)
,,,,,,,,POINT (21.176225 41.9776073)
,,,,,,,,POINT (21.1515621 42.3696633)
,,,,,,,,POINT (21.4005855 42.0038631)
,,,,,,,,POINT (22.1896813 41.7365757)
,,viewpoint,,,,,,POINT (22.1877916 41.7380866)
,,,,,,,,POINT (22.1925072 41.7374964)
,,,,,,,,POINT (22.3616417 42.2091529)
,,,,,,,,POINT (22.3632941 42.2093038)
