name,amenity,tourism,historic,historic:civilization,name:en,name:mk,religion,WKT
Ножот,,,memorial,,,,,POINT (21.7629669 41.4293251)
Народен Херој Кузман Јосифоски-Питу,,,monument,,People's hero Kuzman Josifoski-Pitu,Народен Херој Кузман Јосифоски-Питу,,POINT (21.5519842 41.3451182)
Пеце Атанасоски,,,monument,,,,,POINT (21.554267 41.3451518)
Ѓорче Петров,,,monument,,Gjorche Petrov,,,POINT (21.5522173 41.3452617)
Питу Гули,,,tomb,,,,,POINT (21.2480535 41.3748344)
Тоше Проески,,,tomb,,,,,POINT (21.2482546 41.3748686)
Никола Карев,,,monument,,,,,POINT (21.2463296 41.3736665)
Д-р Никола Незлобински,,museum,,,,,,POINT (20.6776078 41.1805738)
18,,,boundary_stone,,,,,POINT (22.9625526 41.3818263)
26,,,boundary_stone,,,,,POINT (22.965619 41.3969922)
31,,,boundary_stone,,,,,POINT (22.9762168 41.4533981)
32,,,boundary_stone,,,,,POINT (22.9662076 41.4723462)
33,,,boundary_stone,,,,,POINT (22.9601131 41.4924149)
34,,,boundary_stone,,,,,POINT (22.9585216 41.4930169)
35,,,boundary_stone,,,,,POINT (22.9605185 41.5295396)
36,,,boundary_stone,,,,,POINT (22.9604199 41.5423737)
56,,,boundary_stone,,,,,POINT (22.9527432 41.8016583)
,,,memorial,,,,,POINT (21.3365121 41.0252483)
Стефан Наумов-Стив,,,memorial,,Stefan Naumov-Stiv,,,POINT (21.3368929 41.024615)
,library,,,,,,,POINT (22.5050961 41.1404029)
,,museum,,,,,,POINT (22.5090711 41.1423016)
,,,memorial,,,,,POINT (22.5051926 41.1401322)
Споменик на Питу Гули,,,monument,,Statue of Pitu Guli,,,POINT (21.2497316 41.3649692)
Наум Наумоски-Борче,,,monument,,Naum Naumoski-Borche,Наум Наумоски-Борче,,POINT (21.2484409 41.3653856)
Римски театар,,,ruins,,Roman theater,,,POINT (21.9751675 41.5516379)
99.4-053,,attraction,locomotive,,,,,POINT (20.951411 41.5126479)
Два Коња,,,monument,,,,,POINT (22.5001795 41.1458586)
Цоцев Камен,,attraction,archaeological_site,,Cocev Kamen,,,POINT (21.9862589 42.0836218)
Shpella Zgatarit,,,building,,,,,POINT (20.7008757 42.1420353)
,drinking_water,,,,,,,POINT (20.6499422 41.1438939)
,library,,,,,,,POINT (21.5127868 41.9397754)
Државен архив на Северна Македонија,library,,,,State Archives of North Macedonia,,,POINT (21.4343486 41.9968185)
Sahat Kulla,,viewpoint,monument,,Clock tower,,,POINT (20.7366138 42.2112724)
Владимир Динитров - Майстора,,,memorial,,Vladimir Dimitrov - Painter,,,POINT (22.9218638 42.131758)
Спомен куќа на Страшо Пинџур,,museum,,,Memorial house - Strasho Pindjur,,,POINT (22.0181317 41.4184594)
Преспанско Советување,,,monument,,,,,POINT (20.9119981 40.9765203)
,,,,,,,,POINT (21.5553554 41.3334234)
,,,,,,,,POINT (21.5555484 41.3362996)
City Museum,,museum,,,,,,POINT (22.3348959 42.2020133)
Карпалак,,,monument,,,,,POINT (21.5564074 41.3475544)
,,,wayside_cross,,,,,POINT (20.8347906 41.0141147)
Zebrnjak,,,memorial,,,Зебрњак,,POINT (21.7853235 42.1491368)
Григор Прличев,library,,,,,,,POINT (20.8006399 41.1126552)
Свети Климент Охридски,,artwork,monument,,Monument St. Clement Ohridski,,,POINT (20.7995376 41.1126936)
Свети Кирил и Методиј,,artwork,monument,,Monuments of Saints Cyril and Methodius,Saints Cyril and Methodius,,POINT (20.799994 41.1120476)
Свети Наум Охридски Чудотворец,,artwork,monument,,Monument to St. Naum of Ohrid,,,POINT (20.7990226 41.1122955)
Долна Порта,,,city_gate,,Lower Gate,,,POINT (20.7977703 41.1124606)
Мачка камен,,,archaeological_site,,Macka kamen,,,POINT (21.9627449 42.0853984)
,,,memorial,,,,,POINT (20.942922 42.0050975)
Христо Узунов,,,monument,,,,,POINT (21.0770931 41.4182291)
Sv. Mina,place_of_worship,,,,,,christian,POINT (20.8128079 41.052788)
Sv. Nikola,,attraction,wayside_shrine,,,,christian,POINT (20.8135106 41.0596796)
,,,wayside_cross,,,,,POINT (20.8132397 41.0561451)
Lapidar,,,monument,,,,,POINT (20.4997632 41.0737088)
Lapidar,,,monument,,,,,POINT (20.5285491 41.0630312)
Lapidar,,,memorial,,,,,POINT (20.6618206 40.8997521)
Lapidar,,,monument,,,,,POINT (20.6055503 40.8641815)
,,,ruins,,,,,POINT (21.7220923 40.8958297)
,,,ruins,,,,,POINT (21.7231084 40.8961166)
,,,ruins,,,,,POINT (21.7229234 40.8964468)
Споменик на жртви од НОВ,,,monument,,,,,POINT (20.9636151 41.9062629)
Αγια Παρασκευη,,,wayside_shrine,,Agia Paraskevi,,,POINT (22.5033357 41.0167299)
,,,ruins,,,,,POINT (22.501417 41.0171666)
,,,ruins,,,,,POINT (22.50717 41.0209032)
,,,ruins,,,,,POINT (22.5079738 41.0214678)
,,,ruins,,,,,POINT (22.5067966 41.0217964)
Σερβικο Νεκροταφείο 1ος ΠΠ,,,battlefield,,,,,POINT (21.9178225 41.0225865)
